epoch,g_loss,d_loss,d_real_prob,d_fake_prob,d_real_logit,d_fake_logit,epoch_seconds
1,0.9031132550388059,1.3229947025181925,0.49438807368278503,0.4823397994041443,-0.019235916435718536,-0.07055066525936127,46.92516541481018
2,1.0605626063982097,1.3003423036588517,0.5604354739189148,0.398446649312973,0.2775714695453644,-0.41991642117500305,39.53652596473694
3,1.3176946741074427,1.2160655478705171,0.65645432472229,0.31830650568008423,0.7993484735488892,-0.7815583944320679,40.02470588684082
4,1.2943025110708388,1.2108209025901082,0.58281409740448,0.37031373381614685,0.3861328065395355,-0.5455523133277893,40.167816162109375
5,1.2776093086981857,1.2108098099388467,0.5327063202857971,0.34948500990867615,0.16175785660743713,-0.6436250805854797,40.24715232849121
6,1.30521039556467,1.1933636094047124,0.6529897451400757,0.3427228033542633,0.7418490648269653,-0.67561936378479,40.341009855270386
7,1.2960090197906362,1.185832710723976,0.5827527046203613,0.31063079833984375,0.39450281858444214,-0.815178394317627,40.39406180381775
8,1.312378968850139,1.1751542580168965,0.6639013290405273,0.3785873055458069,0.8279147148132324,-0.5266925096511841,40.36175560951233
9,1.3026832265837383,1.1730428731977733,0.5105862021446228,0.23401032388210297,0.08036918938159943,-1.2161014080047607,40.367117166519165
10,1.3268381063294659,1.1631475344661197,0.5013419389724731,0.23931884765625,0.03426969796419144,-1.1985397338867188,40.371057748794556
11,1.3672046064299284,1.150737271383147,0.6355850696563721,0.3237677216529846,0.6785485744476318,-0.7767258882522583,40.29781627655029
12,1.3799987475558548,1.1369656974056601,0.623528242111206,0.3105070888996124,0.6168229579925537,-0.8399273157119751,40.35310697555542
13,1.4163527635142052,1.1255811087812932,0.5507788062095642,0.26973778009414673,0.2697075605392456,-1.0468473434448242,40.356491804122925
14,1.4447108928926262,1.1136399608582361,0.626329779624939,0.3054220676422119,0.6321612596511841,-0.8678430318832397,40.35148549079895
15,1.473731617304693,1.1022124026473419,0.5895228981971741,0.26312506198883057,0.4402161240577698,-1.0967367887496948,40.32881736755371
16,1.5057315432489125,1.0913164645536548,0.5068989396095276,0.19978998601436615,0.04635987430810928,-1.4454435110092163,40.336249351501465
17,1.5305155557950887,1.0791662837601037,0.6747614741325378,0.3352849781513214,0.8659071922302246,-0.7423043251037598,40.3400559425354
18,1.5591832349869619,1.0694558323460879,0.6757488250732422,0.3044722378253937,0.8827937841415405,-0.9002062082290649,40.33316731452942
19,1.5846925739804767,1.0620580453773683,0.6426001191139221,0.25357550382614136,0.6990280747413635,-1.1599299907684326,40.33692717552185
20,1.624849337607519,1.0484559202895445,0.5921587944030762,0.18111184239387512,0.4458925127983093,-1.6043699979782104,40.321768283843994
21,1.6431052146485932,1.0404704322451952,0.6303375959396362,0.26663175225257874,0.620280385017395,-1.1140378713607788,40.26928925514221
22,1.6736978173874655,1.0300440916140599,0.6566338539123535,0.28020697832107544,0.7620786428451538,-1.0604538917541504,40.322774171829224
23,1.700841431386743,1.0203651253739856,0.6942498683929443,0.3431960344314575,0.9639860987663269,-0.74296635389328,40.321836948394775
24,1.7278784380445844,1.012368288935262,0.6830155849456787,0.27268773317337036,0.9133419990539551,-1.0986160039901733,40.32180666923523
25,1.7669642555259917,0.9982413412377908,0.6360695362091064,0.263468474149704,0.6618207693099976,-1.1577117443084717,40.324931144714355
26,1.7954548097193035,0.9857258867846228,0.6292661428451538,0.20443889498710632,0.6267123222351074,-1.5406399965286255,40.30683708190918
27,1.8201037792804744,0.981459246374744,0.6614809632301331,0.23381778597831726,0.8026848435401917,-1.323899269104004,40.302531003952026
28,1.841318111518675,0.9692819244308868,0.6952441930770874,0.27564582228660583,0.9597647786140442,-1.1181491613388062,40.31205606460571
29,1.8822016792313863,0.9597091303564685,0.6426692008972168,0.21800349652767181,0.7023038268089294,-1.4229503870010376,40.30903911590576
30,1.9071760400356306,0.9536609260887423,0.5785632729530334,0.13009652495384216,0.35972070693969727,-2.097132444381714,40.31813192367554
31,1.9379675881260408,0.9428486126929418,0.6118205189704895,0.18632473051548004,0.544792890548706,-1.6775774955749512,40.255887031555176
32,1.9689862695119784,0.9367814750819883,0.5845842361450195,0.17612209916114807,0.3919907212257385,-1.7231385707855225,40.31121110916138
33,1.9918981225432821,0.9236074374621303,0.6375124454498291,0.18800275027751923,0.6552078723907471,-1.6665818691253662,40.307820081710815
34,2.0111628129408023,0.9228439043343686,0.6141335964202881,0.17979277670383453,0.5299627780914307,-1.7232661247253418,40.31510806083679
35,2.03620564586976,0.9172482123424438,0.5451492071151733,0.13823378086090088,0.1858697533607483,-2.0676136016845703,40.31683135032654
36,2.0585987652461832,0.9093954777635093,0.6786342859268188,0.25834959745407104,0.8804442882537842,-1.2502723932266235,40.31790471076965
37,2.078484321341795,0.9007172091609467,0.6008729934692383,0.16564437747001648,0.47542616724967957,-1.8674023151397705,40.29385042190552
38,2.1088295383024382,0.8913875063397892,0.6598808169364929,0.22259777784347534,0.7726113796234131,-1.4419158697128296,40.29877734184265
39,2.124452377170015,0.889722618264723,0.5575539469718933,0.1226678118109703,0.23143264651298523,-2.2606992721557617,40.291342973709106
40,2.133010727878673,0.890269226990769,0.5580372214317322,0.17101642489433289,0.2622348666191101,-1.8463369607925415,40.29495644569397
41,2.136066816257358,0.8896281862547654,0.624575138092041,0.1908816248178482,0.6074112057685852,-1.7238999605178833,40.26069116592407
42,2.1566819026808424,0.8757912328911488,0.6361899375915527,0.1868094652891159,0.63628751039505,-1.7384967803955078,40.28723454475403
